Date,Open,High,Low,Close,Volume,Change
2021-03-03,44800,45500,44200,45500,1768016,0.022471910112359605
2021-03-04,45550,46400,44950,45800,2851345,0.00659340659340657
2021-03-05,46350,47400,45950,47000,4056148,0.026200873362445476
2021-03-08,48200,50400,47950,49950,5184062,0.06276595744680846
2021-03-09,51900,53000,51300,52600,7203435,0.05305305305305308
2021-03-10,51000,52100,50000,51600,3564221,-0.019011406844106515
2021-03-11,52100,53700,51500,52000,3624786,0.007751937984496138
2021-03-12,51100,51300,50200,50400,2333084,-0.03076923076923077
2021-03-15,51200,51700,50100,51200,2062574,0.015873015873015817
2021-03-16,51000,51700,50600,51200,1150495,0.0
2021-03-17,50800,51100,50100,50700,1212602,-0.009765625
2021-03-18,50700,51000,49000,50300,2482452,-0.007889546351084853
2021-03-19,51700,51800,49650,49650,2611996,-0.012922465208747513
2021-03-22,49850,51600,49500,51400,2383071,0.03524672708962728
2021-03-23,51900,52000,50600,51400,1919932,0.0
2021-03-24,50800,51600,50600,51000,1460785,-0.0077821011673151474
2021-03-25,50800,53000,50500,52600,2493672,0.031372549019607954
2021-03-26,53400,53600,52800,53200,1497578,0.011406844106463865
2021-03-29,52800,54000,52200,53700,1606373,0.009398496240601517
2021-03-30,53900,55900,53700,54900,1820907,0.022346368715083775
2021-03-31,55400,56200,54400,56200,1834475,0.023679417122040025
2021-04-01,55300,56000,54600,55000,1495543,-0.02135231316725983
2021-04-02,54000,54800,53600,53900,1432792,-0.020000000000000018
2021-04-05,53600,54800,53300,54600,1213660,0.01298701298701288
2021-04-06,54000,54500,52700,53000,1591346,-0.02930402930402931
2021-04-07,53000,53800,52700,53600,1490732,0.01132075471698113
2021-04-08,53500,53500,52500,52800,1152087,-0.014925373134328401
2021-04-09,53300,53300,52500,52600,1013836,-0.0037878787878787845
2021-04-12,53000,53600,52600,53400,944418,0.015209125475285079
2021-04-13,53100,53500,52500,53500,1479972,0.001872659176029856
2021-04-14,53100,53500,52800,53200,1095023,-0.005607476635513975
2021-04-15,53300,54400,53200,54000,1412798,0.015037593984962516
2021-04-16,53700,53700,52700,52700,4821328,-0.024074074074074026
2021-04-19,52800,52800,52200,52300,1123966,-0.007590132827324458
2021-04-20,52400,53100,52300,53100,1382496,0.015296367112810794
2021-04-21,52600,52800,52000,52400,2090782,-0.013182674199623379
2021-04-22,52700,53600,52400,53500,1880677,0.020992366412213803
2021-04-23,53500,55800,53300,54300,3587027,0.01495327102803734
2021-04-26,55100,55500,54300,55000,3707157,0.012891344383057168
2021-04-27,55400,55400,54700,55000,1248421,0.0
2021-04-28,55400,55600,54500,55000,1400194,0.0
2021-04-29,55300,55400,53900,53900,1127318,-0.020000000000000018
2021-04-30,54100,55500,53900,54700,1817453,0.014842300556586308
2021-05-03,55400,55400,53000,53700,1295837,-0.018281535648994485
2021-05-04,53100,54000,52700,53300,969843,-0.007448789571694592
2021-05-06,54400,57500,54300,57500,3197803,0.07879924953095685
2021-05-07,57200,58300,56700,58300,1773865,0.013913043478260834
2021-05-10,58900,59500,58000,59500,1609236,0.020583190394511064
2021-05-11,59400,59800,58300,59700,1804888,0.003361344537815114
2021-05-12,59800,59800,57400,58400,1571571,-0.021775544388609736
2021-05-13,58200,59800,58000,58800,2045579,0.006849315068493178
2021-05-14,58200,58600,57200,57600,1263046,-0.020408163265306145
2021-05-17,57200,58000,56700,57900,1079044,0.005208333333333259
2021-05-18,58300,59200,58000,58800,1152689,0.015544041450777257
2021-05-20,58600,59200,57500,58000,1688989,-0.013605442176870763
2021-05-21,57300,57700,56000,56300,1799926,-0.02931034482758621
2021-05-24,56100,57300,56000,56900,1007131,0.010657193605683846
2021-05-25,57000,58200,56700,58100,1151383,0.02108963093145877
2021-05-26,57800,58000,56900,57200,1022294,-0.015490533562822706
2021-05-27,56900,57600,55400,55400,3878877,-0.03146853146853146
2021-05-28,56100,57400,55800,57000,1559587,0.028880866425992746
2021-05-31,58000,59100,57500,58800,1839032,0.03157894736842115
2021-06-01,58800,59000,58000,58800,921289,0.0
2021-06-02,59000,59500,58500,58900,984297,0.001700680272108901
2021-06-03,59000,59800,58300,58300,1189896,-0.01018675721561968
2021-06-04,58200,59000,57400,57600,1439388,-0.012006861063464824
2021-06-07,57700,58100,57200,58000,818905,0.00694444444444442
2021-06-08,57900,58300,57300,57900,840733,-0.0017241379310344307
2021-06-09,57400,57800,56900,56900,814735,-0.01727115716753025
2021-06-10,56900,57300,56400,57200,1336878,0.005272407732864748
2021-06-11,57000,57500,56600,57000,810885,-0.0034965034965035446
2021-06-14,57000,57000,55700,56200,1080418,-0.01403508771929829
2021-06-15,55600,56400,55400,55900,950322,-0.005338078291814985
2021-06-16,56000,57300,55900,56900,1172338,0.017889087656529412
2021-06-17,57100,57700,56300,56900,1208470,0.0
2021-06-18,56500,57100,56100,56800,1240029,-0.0017574692442882123
2021-06-21,56100,56400,55000,55100,1951084,-0.029929577464788748
2021-06-22,55800,56000,55600,55800,629527,0.012704174228675091
2021-06-23,55700,56000,55000,55500,782926,-0.005376344086021501
2021-06-24,55200,56400,55000,56100,972137,0.0108108108108107
2021-06-25,56800,57300,56500,57300,983536,0.021390374331550888
2021-06-28,57400,57800,56700,57200,1044763,-0.0017452006980802626
2021-06-29,56600,56600,55700,56100,1108424,-0.019230769230769273
2021-06-30,55900,56300,55700,55800,915409,-0.005347593582887722
2021-07-01,55600,55700,54700,54700,1803641,-0.01971326164874554
2021-07-02,55100,55100,54300,54500,1687207,-0.003656307129798919
2021-07-05,54500,54700,53800,54000,1241061,-0.00917431192660545
2021-07-06,53800,54200,53500,53800,1093402,-0.0037037037037036535
2021-07-07,53100,53400,52500,52800,2142738,-0.018587360594795488
2021-07-08,52500,53100,52200,52300,2043669,-0.009469696969697017
2021-07-09,51300,51300,50100,50400,4244069,-0.03632887189292544
2021-07-12,51500,52300,51400,51500,1993981,0.021825396825396748
2021-07-13,52200,52800,52100,52200,1474584,0.013592233009708687
2021-07-14,52000,52200,51300,51500,1457880,-0.013409961685823757
2021-07-15,51500,52200,51400,51800,1254010,0.005825242718446644
2021-07-16,51500,52500,51400,52500,1171346,0.013513513513513598
2021-07-19,51900,52300,50900,51100,1350304,-0.026666666666666616
2021-07-20,50200,51100,50100,50800,1220986,-0.005870841487279899
2021-07-21,51100,51500,50600,50600,1087436,-0.003937007874015741
2021-07-22,51400,52200,51300,51800,1657259,0.02371541501976293
2021-07-23,51900,52500,51300,52200,1366442,0.007722007722007707
